src_app,target_app,count,mean,std,min,25%,50%,75%,max
a11-b12,a13-b12,42.0,0.566931216931217,0.09216483979750464,0.2,0.6,0.6,0.6,0.6666666666666666
a11-b12,a14-b12,46.0,0.48947550034506565,0.053096347898390656,0.2857142857142857,0.5,0.5,0.5,0.6666666666666665
a13-b12,a11-b12,41.0,0.5569105691056911,0.07524425747955453,0.4,0.5,0.6,0.6,0.6
a13-b12,a14-b12,43.0,0.4830195644149132,0.07076583016636852,0.2857142857142857,0.5,0.5,0.5,0.6666666666666665
a14-b12,a11-b12,43.0,0.5310413101110776,0.100369824391415,0.2222222222222222,0.5,0.5454545454545454,0.5454545454545454,0.6666666666666665
a14-b12,a13-b12,35.0,0.391028971028971,0.15219233297776932,0.1538461538461538,0.19090909090909092,0.4615384615384615,0.5454545454545454,0.5454545454545454
a21-b22,a22-b22,37.0,0.3337108837108837,0.10901368021298091,0.1818181818181818,0.2222222222222222,0.3636363636363636,0.4444444444444445,0.5714285714285715
a21-b22,a23-b22,19.0,0.46772233614338876,0.1706486047202845,0.2222222222222222,0.26785714285714285,0.5,0.6,0.6666666666666665
a21-b22,a24-b22,66.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
a21-b22,a25-b22,57.0,0.7607921318447634,0.2164479329516773,0.2,0.7272727272727273,0.888888888888889,0.888888888888889,0.888888888888889
a22-b22,a21-b22,59.0,0.522085259373395,0.06381371559637017,0.3636363636363636,0.5,0.5454545454545454,0.5454545454545454,0.6
a22-b22,a23-b22,24.0,0.42529923779923773,0.11338166845896452,0.2222222222222222,0.3839285714285714,0.4615384615384615,0.5,0.5454545454545454
a22-b22,a24-b22,66.0,0.4209366391184573,0.0678236690813273,0.3636363636363636,0.4,0.4,0.4,0.6
a22-b22,a25-b22,54.0,0.6282774838330395,0.20539585298353044,0.2,0.4444444444444445,0.8,0.8,0.8
a23-b22,a21-b22,37.0,0.45666495666495666,0.09194008976679739,0.1818181818181818,0.4285714285714285,0.4615384615384615,0.5,0.5714285714285715
a23-b22,a22-b22,32.0,0.23884258103008096,0.0926308190028869,0.125,0.1666666666666666,0.1818181818181818,0.3333333333333333,0.4444444444444445
a23-b22,a24-b22,66.0,0.6923783287419651,0.10660763680286868,0.3333333333333333,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
a23-b22,a25-b22,27.0,0.3630353185908741,0.10349597344441941,0.1538461538461538,0.3666666666666666,0.3999999999999999,0.4142857142857142,0.5
a24-b22,a21-b22,55.0,0.3681083562901744,0.08667769190845599,0.2,0.3333333333333333,0.4,0.4444444444444444,0.5
